MANufACTuRERS NAME,BuSINESS NAME,STATE.0,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,section 2  accident infoRmation.0,section 2  accident infoRmation.1.0,section 2  accident infoRmation.1.1.0,section 2  accident infoRmation.1.1.1.0,section 2  accident infoRmation.1.1.1.1,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,None,MODEL_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,ADDRESS_2.1.0.1,Conventional Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,ROAD CONDITIONS D 1,ROAD CONDITIONS D 2,MOVEMENT A 1,MOVEMENT  I 2,TYPE B 1,TYPE B 2,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,source_file,AM,minor,Left Front Corner 1,Left Front Corner 3,VEhICLE YEAR_2,STATE VEhICLE IS REGISTERED IN_2,STATE_2,ROAD CONDITIONS H 1,ROAD CONDITIONS H 2,MOVEMENT  G 2,TYPE A 1,TYPE C 2,Right Rear 1,Right Rear 3,LIGHTING C 1,LIGHTING C 2,TYPE C 1,Moving,Moderate,Front Bumper,Right Front Corner 3,WEATHER B 1,WEATHER B 2,MOVEMENT  B 1,MOVEMENT  D 2,TYPE D 2,Right Rear Passenger 2,Front Passenger Side 4,Autonomous Mode,MOVEMENT  D 1,TYPE E 1,Left Rear 1,Passenger,Rear Bumper,MOVEMENT A 2,Injured,Passenger_2,MOVEMENT  B 2,TYPE A 2,Bicyclist,Right Front Corner 2,MOVEMENT  M 2,Left Rear 2,Left Rear Passenger 1,MOVEMENT  E 2,Front Driver Side 3,WEATHER C 1,WEATHER C 2,ROADWAY B 1,ROADWAY B 2,MOVEMENT  L 2,TYPE D 1,undefined,Other,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,CITY_2.1.1.0,Injured_2,Driver,MOVEMENT  E 1,MOVEMENT  R 2,STATE_4.0,ZIP CODE_2.0,Left Front Corner 2,Right Front Corner 1,Right Rear Passenger 4,undefined_2,Other_2,OTHER A YES,Left Rear Passenger 3,Bicyclist_2,MOVEMENT  K 2,MOVEMENT  O 1,MOVEMENT  H 2,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,OTHER E,Proper ty_2,MOVEMENT J 1,DRIVERS fuLL NAME First Middle last_2,MOVEMENT  H 1,Right Rear 2,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2,MOVEMENT  L 1,MOVEMENT  G 1,MOVEMENT  O 2,LIGHTING B 1,LIGHTING B 2,MOVEMENT  K 1,Front Passenger Side 2,Front Driver Side 1,MOVEMENT  N 2,Stopped in Traffic_2,MOVEMENT J 2,Bicyclist_3,OTHER C,TYPE H 2,WEATHER E 1,WEATHER E 2,major,OTHER K,MOVEMENT  Q 2,OTHER D
Waymo LLC,Waymo LLC,CA,11/28/2021,6:08:00,/ ,2021,Jaguar,I-Pace,CA,Clay Street and Franklin Street,San Francisco,San Francisco,CA,94109,/ ,2,,BMW 325I,/ ,2,"On November 28, 2021 at 6:08 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Clay Street at Franklin Street. The Waymo AV was stopped at a red light on eastbound Clay Street at Franklin Street when a passenger vehicle struck the Waymo AV’s rear bumper. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV’s rear bumper sustained damage, and the passenger vehicle’s front bumper sustained damage.",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_112821_Redacted.pdf,,/Yes,,,2001,CA,CA,/Yes,/Yes,,,/Yes,,,/Yes,/Yes,,,,,,,,,,,,,/ ,,,/Yes,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/30/2021,12:21,/ ,2021,Jaguar,I-Pace,CA,10 block of Castro Street,San Francisco,San Francisco,CA,94117,,2,,Honda CR-V,,2,"On November 30, 2021 at 12:21pm PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV on the 10 block of Castro Street. As the Waymo AV test driver drove the Waymo AV in manual mode on southbound Castro Street between Waller Street and Lloyd Street, the passenger side mirror of the Waymo AV made contact with a parked SUV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage to its passenger side rearview mirror.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_113021_Redacted.pdf,,/Yes,,,,CA,,/Yes,/Yes,,,,,,,,,,,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,/ ,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,12/3/2021,12:23,/ ,2021,Jaguar,I-Pace,CA,16th Street at Market and Noe Street,San Francisco,San Francisco,CA,94114,/ ,2,,Audi A3,/ ,2,"On December 3, 2021 at 12:23 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at 16th Street at Market and Noe Street.As the Waymo AV approached the intersection of 16th Street and Market Street, it stopped behind traffic at a red light. After the Waymo AV was fully stopped, a passenger vehicle reversed out of a parking spot perpendicular to the Waymo AV and made contact with the passenger side rear corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver’s seating position. Both vehicles sustained minor damage to their rear bumpers.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_120321_Redacted.pdf,,/Yes,,,2016,CA,CA,/Yes,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,/Yes,,,/ ,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,12/4/2021,4:10,/ ,2021,Jaguar,I-Pace,CA,19th Avenue and Winston Drive,San Francisco,San Francisco,CA,94132,,2,,Lexus RX400H,/ ,2,"On December 4, 2021 at 4:10 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV on Winson Drive between 19th and 20th Avenues. While in autonomous mode, the Waymo AV turned right from southbound 19th Avenue onto westbound Winston Drive. As the Waymo AV proceeded onto Winston Drive in the far right lane, an SUV also proceeding westbound on Winston Drive made a continuous right lane change from the far left lane, through the middle lane, and entered the far right lane in front of the Waymo AV. The Waymo AV was decelerating when the test driver transitioned to manual mode. The Waymo AV then made contact with the SUV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver (in the driver’s seating position) was operating the Waymo AV in manual mode. The Waymo AV sustained damage to its front driver side fender and the SUV sustained damage to its front passenger side fender. ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_120421_Redacted.pdf,,/Yes,/Yes,/Yes,2007,CA,CA,/Yes,/Yes,,,,,,,,,/ ,,,,,,/Yes,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,
Waymo LLC,Waymo LLC,CA,12/7/2021,10:47,,2021,Jaguar,I-Pace,CA,Oak Street & Stanyan Street,San Francisco,San Francisco,CA,94117,/ ,2,,Lexus 4H,/ ,2,"On December 7, 2021 at 10:47 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV at Oak Street at Stanyan Street. While in autonomous mode, the Waymo AV came to a stop at a stop sign on Oak Street. While the ADV was stopped, waiting for a pedestrian to cross and for traffic on Stanyan Street to clear, an SUV approached the Waymo AV from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the rear bumper.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_120721_Redacted.pdf,/ ,/Yes,,,2021,CA,CA,/Yes,/Yes,,,/Yes,/Yes,,,,,,,,,,,,,,,,/ ,,,/Yes,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,12/11/2021,2:28,,2021,Jaguar,I-Pace,CA,1900 Noriega Street,San Francisco,San Francisco,CA,94122,,1,,,,,"On December 11, 2021 at 2:28 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving a concrete post in the parking lot at 1900 Noriega Street. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The operator of the vehicle was attempting to reverse into a parking spot when the right rear sensor casing of the vehicle struck a concrete post adjacent to the parking spot. The Waymo AV sustained minor damage to the right rear sensor housing.",/ ,,,,,/Yes,,,,,,,,"Karen Isgrigg, Program Manager",12/20/2021,Waymo-OL316_121121_Redacted.pdf,/ ,/Yes,,,,,,/Yes,,,,,,/Yes,/Yes,,,/ ,,,,/Yes,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,01/13/2021,3:15,/ ,2017,Chrysler,Pacifica,CA,26th Street at Bartlett Street,San Francisco,San Francisco,CA,94110,,2,, Volvo S60,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling northbound on Bartlett Street and turning left onto westbound 26th Street in San Francisco when it was involved in a collision. The Waymo AV had come to a complete stop at the 4-way stop sign intersection at Bartlett Street and 26th Street before proceeding to make a left turn in autonomous mode. As the Waymo AV was completing the left turn, a passenger vehicle traveling eastbound on 26th Street and turning left onto northbound Bartlett Street proceeded into the intersection without fully stopping at the stop sign. The Waymo AV began to brake for the passenger vehicle and the Waymo AV test driver disengaged autonomous mode and manually stopped the Waymo AV just prior to the passenger vehicle making contact with the driver’s side of the Waymo AV. The passenger vehicle was traveling approximately 5 MPH at the time of contact, and the Waymo AV was traveling approximately 0 MPH. The Waymo AV sustained minor damage to its driver’s side front wheel well and driver door, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",01/21/2021,Waymo_011321.pdf,,/Yes,,,2013,CA,CA,/Yes,/Yes,,,,,,,,,/ ,,,,,,,,/Yes,,,/ ,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,/Yes,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,01/22/2021,10:54,,2017,Chrysler,Pacifica,CA,Precita Avenue at Cesar Chavez,San Francisco,San Francisco,CA,94110,/ ,2,,Volvo 12S,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling eastbound on Precita Avenue and yielding to traffic while preparing to merge onto Cesar Chavez in San Francisco when it was involved in a collision. While in autonomous mode, the Waymo AV had come to a complete stop at the stop sign at Precita Avenue at Cesar Chavez. As the Waymo AV proceeded slowly in preparation to merge, the Waymo AV test driver disengaged autonomous mode and manually stopped the Waymo AV. A passenger vehicle behind the Waymo AV then made contact with the stationary Waymo AV’s rear bumper at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported.",/ ,,,/Yes,/Yes,,,,,/Yes,,,,"Matt Salwasser, Program Manager",01/29/2021,Waymo_012221.pdf,/ ,/Yes,,,1985,CA,CA,/Yes,/Yes,,,/Yes,,,,,,,,,,/Yes,/Yes,,,,,,,,,/Yes,,/Yes,,,,/Yes,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,02/16/2021,05:50,/ ,2017,Chrysler,Pacifica,CA,16th Street at Market Street,San Francisco,San Francisco,CA,94114,/ ,2,,Toyota Sienna,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling westbound on 16th Street at Market Street in San Francisco when it was involved in a collision. While in autonomous mode, the Waymo AV was stopped at a red traffic light at the unprotected intersection of 16th Street and Market Street. After the traffic light turned green, the Waymo AV began to proceed and then came to a stop as it yielded to oncoming traffic also entering the intersection. A passenger vehicle behind the Waymo AV then made contact with the stationary Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported.",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,,"Matt Salwasser, Program Manager",02/25/2021,Waymo_021621.pdf,,/Yes,,,,CA,CA,/Yes,/Yes,,,/Yes,/Yes,,,,,,,,,,,,,,,,/ ,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,02/17/2021,12:00,/ ,2017,Chrysler,Pacifica,CA,Shrader Street at Haight Street,San Francisco,San Francisco,CA,94117,/ ,2,,Nissan Sentra,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling northbound on Shrader Street at Haight Street in San Francisco when it was involved in a collision. While in manual mode, the Waymo AV test driver stopped the Waymo AV at a 4-way stop sign intersection on Shrader Street at Haight Street, signaling to make a left turn. The Waymo AV test driver yielded to a passenger vehicle to their right (facing westbound on Haight Street), allowing the passenger vehicle to enter the intersection before the Waymo AV test driver began to slowly enter the intersection. When the passenger vehicle began to make a left turn in front of the Waymo AV from westbound Haight Street onto southbound Shrader Street, the Waymo AV test driver stopped the Waymo AV. A passenger vehicle behind the Waymo AV then made contact with the stationary Waymo AV’s rear bumper at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle left the scene without exchanging information. No injuries were reported.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,/Yes,"Matt Salwasser, Program Manager",02/25/2021,Waymo_021721.pdf,,/Yes,,,,CA,CA,/Yes,/Yes,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,02/25/2021,04:06,/ ,2017,Chrysler,Pacifica,CA,3770 24th St.,San Francisco,San Francisco,CA,94114,,1,,,,,"A Waymo Autonomous Vehicle (“Waymo AV”) test driver was parallel parking a Waymo AV in manual mode on 24th Street when a roof-mounted sensor on the Waymo AV made contact with a low-hanging tree branch. The Waymo AV’s sensor sustained minor damage. No injuries were reported.",/ ,/Yes,,/Yes,,/Yes,,,,,,,,"Matt Salwasser, Program Manager",03/05/2021,Waymo_022521_1.pdf,,/Yes,,,,,,/Yes,,,,,,/Yes,,,,/ ,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,02/25/2021,09:45,/ ,2017,Chrysler,Pacifica,CA,618 Spruce St.,San Francisco,San Francisco,CA,94118,,2,,Honda Civic,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Spruce Street approaching Euclid Avenue in San Francisco was involved in a collision. The Waymo AV had been traveling in autonomous mode on Spruce Street when the Waymo AV test driver disengaged autonomous mode. Approximately 6 seconds after the disengagement, the Waymo AV’s passenger side rearview mirror made contact with an unattended parked passenger vehicle’s driver side rearview mirror at approximately 15 MPH. The Waymo AV sustained minor damage to its passenger side rearview mirror, and the passenger vehicle sustained minor damage to its driver side rearview mirror. No injuries were reported. The Waymo AV test driver left insurance information with the parked vehicle.",/ ,/Yes,/Yes,,,/Yes,/Yes,,,,,/Yes,,"Matt Salwasser, Program Manager",03/05/2021,Waymo_022521_2.pdf,,/Yes,,,,CA,,/Yes,/Yes,,,,,,/Yes,/Yes,,/ ,,,,,,/Yes,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,03/19/2021,11:40,,2021,Jaguar,I-Pace,CA,Church Street at 21st Street,San Francisco,San Francisco,CA,94114,,2,, Honda Civic,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Church Street at 21st Street in San Francisco was involved in a collision. While stopped in autonomous mode, the Waymo AV switched to reverse gear in preparation for making a multipoint turn, just as the test driver disengaged by applying the accelerator pedal. The Waymo AV made contact with a passenger vehicle behind it at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",/ ,,,/Yes,/Yes,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",03/29/2021,Waymo_031921.pdf,/ ,/Yes,,,2016,CA,CA,/Yes,/Yes,,,,,,,,,/ ,,,,/Yes,/Yes,,,,,,,,,/Yes,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,/ ,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,03/24/2021,07:45,,2017,Chrysler,Pacifica,CA,Lomita Avenue at Aloha Avenue,San Francisco,San Francisco,CA,94122,,2,,Ford F-250,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Lomita Avenue approaching Aloha Avenue in San Francisco was involved in a collision. While being driven in manual mode and approaching an oncoming passenger vehicle, the Waymo AV’s passenger side view mirror made contact with an unoccupied parked passenger vehicle’s driver side view mirror at approximately 17 MPH. The Waymo AV sustained minor damage to its passenger side view mirror, and the unoccupied passenger vehicle sustained minor damage to its driver side view mirror. No injuries were reported at the scene.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,"Matt Salwasser, Program Manager",04/02/2021,Waymo_032421.pdf,/ ,/Yes,,,,CA,,/Yes,/Yes,,,,,,,,,/ ,,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,03/30/2021,08:20,,2021,Jaguar,I-Pace,MI,Filbert Street at Scott Street,San Francisco,San Francisco,CA,94123,,2,,Honda Civic,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling westbound on Filbert Street at Scott Street in San Francisco was involved in a collision. After coming to a complete stop in autonomous mode, the Waymo AV switched to reverse gear in preparation for making a multipoint turn. Within fractions of a second, the test driver applied the accelerator pedal to disengage autonomous mode. The Waymo AV made contact with a passenger vehicle that was stopped behind it at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",04/08/2021,Waymo_033021.pdf,/ ,/Yes,,,2010,CA,CA,/Yes,/Yes,,,,/Yes,,,,,/ ,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,/ ,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,03/31/2021,10:33,/ ,2017,Chrysler,Pacifica,CA,9th Street at Howard Street,San Francisco,San Francisco,CA,94103,,2,,Ford Transit,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound in manual mode on 9th Street approaching Howard Street in San Francisco was involved in a collision. The Waymo AV test driver was slowing for stopped traffic ahead when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 7 MPH. The Waymo AV was traveling at approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. The Waymo AV test driver and co-driver both sought medical attention at the scene and were transported to local hospitals.",/ ,/Yes,/Yes,,,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",04/09/2021,Waymo_033121.pdf,,/Yes,,,2015,CA,CA,/Yes,/Yes,,,/Yes,/Yes,,/Yes,/Yes,,/ ,,,,,,,,,,,,,,/Yes,,/Yes,,/ ,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,/ ,/ ,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,04/04/2021,08:50,,2017,Chrysler,Pacifica,CA,Jones Street at Clay Street,San Francisco,San Francisco,CA,94109,,2,,Honda CR-V,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Jones Street approaching Clay Street in San Francisco was involved in a collision. After the Waymo AV made a right turn from Pleasant Street in autonomous mode, the Waymo AV test driver disengaged autonomous mode to maneuver past an oncoming vehicle on Jones Street that was drifting toward the Waymo AV. While in manual mode, the Waymo AV’s passenger side view mirror then made contact with an unoccupied parked passenger vehicle’s driver side view mirror at approximately 6 MPH. The Waymo AV sustained minor damage to its passenger side view mirror. The unoccupied passenger vehicle’s driver-side mirror was cracked, but most or all of the damage appeared to have been pre-existing. No other damage was observed to the unoccupied passenger vehicle. No injuries were reported at the scene.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,"Matt Salwasser, Program Manager",04/13/2021,waymo_040421.pdf,/ ,/Yes,,,2016,CA,,/Yes,/Yes,,,,,,,,,/ ,,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,04/17/2021,04:03,,2017,Chrysler,Pacifica,CA,Harrison Street at Hawthorne Street,San Francisco,San Francisco,CA,94107,,2,,Nissan Sentra,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling southbound on Harrison Street approaching Hawthorne Street in San Francisco was involved in a collision. While in manual mode, the Waymo AV’s test driver was braking for a red light at Hawthorne Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 12 MPH. The Waymo AV was traveling approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",/ ,/Yes,/Yes,,,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",04/26/2021,Waymo_041721.pdf,/ ,/Yes,,,2010,CA,,/Yes,/Yes,,,/Yes,,,/Yes,/Yes,,/ ,,,,,,,,,,,,,,/Yes,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,04/18/2021,04:00,/ ,2017,Chrysler,Pacifica,CA,Park Presidio Bypass approaching Crossover Drive,San Francisco,San Francisco,CA,94121,/ ,2,,Dodge Ram,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling southbound on Park Presidio Bypass approaching Crossover Drive in San Francisco was involved in a collision. While in autonomous mode, the Waymo AV was stationary in stop-and-go traffic when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Matt Salwasser, Program Manager",04/26/2021,Waymo_041821.pdf,,/Yes,,,2019,CA,CA,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,,,,,/ ,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,06/02/2021,9:00,,2021,Jaguar,I-Pace,CA,Eugenia Avenue at Elsie Street,San Francisco,San Francisco,CA,94110,,2,,Ford Ranger,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling eastbound in reverse on Eugenia Avenue at Elsie Street in San Francisco was involved in a collision. While in manual mode, the Waymo AV test driver was backing up on a narrow street in order to make room for an oncoming passenger vehicle to pass. As the Waymo AV test driver reversed, the Waymo AV’s rear passenger’s side sensor housing came in contact with an unoccupied parked passenger vehicle’s driver’s side rear fender. The Waymo AV was traveling approximately 1 MPH. The Waymo AV sustained minor damage to its rear passenger’s side sensor housing, and the unoccupied parked passenger vehicle’s sustained minor damage to its driver’s side rear fender. No injuries were reported at the scene.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,"Matt Salwasser, Program Manager",06/11/2021,Waymo_060221_1.pdf,/ ,/Yes,,,,CA,,/Yes,/Yes,,,,,/Yes,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,06/02/2021,09:10,,2021,Jaguar,I-Pace,MI,Buchanan Street and Vallejo Street,San Francisco,San Francisco,CA,94123,,2,,BMW 328i,,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Buchanan Street toward Green Street in San Francisco was involved in a collision. While in manual mode and parked parallel to the curb on Buchanan Street, the Waymo AV test driver accelerated from the stationary position and made contact with an unoccupied parked passenger vehicle in front of it. The Waymo AV sustained moderate damage to its front bumper and grille, and the unoccupied parked passenger vehicle’s sustained moderate damage to rear bumper and trunk. No injuries were reported at the scene.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",06/11/2021,Waymo_060221_2.pdf,/ ,,,/Yes,,CA,,/Yes,/Yes,,,,,,,,/Yes,/ ,/Yes,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,
